asset,dataset,start_date,end_date,passed,strategy_total_return,strategy_sharpe_ratio,strategy_sortino_ratio,strategy_maximum_drawdown,strategy_turnover,strategy_transaction_cost,strategy_number_of_trades,buy_and_hold_total_return,buy_and_hold_sharpe_ratio,buy_and_hold_sortino_ratio,buy_and_hold_maximum_drawdown,buy_and_hold_turnover,buy_and_hold_transaction_cost,buy_and_hold_number_of_trades,regime_distribution,agent_observations
BUNDLED_PRIMARY,data/raw/example_ohlcv.csv,2024-01-02,2024-02-27,True,0.0023489629999997597,0.3225032231984182,0.28450607526608596,-0.015855361544071633,3.9860722761360954,402.8037,2,0.09242703000000008,4.576621880291969,19.96617281273192,-0.02916990232823935,0.0,0.0,0,"{""bull"": 6, ""sideways"": 34}",40
BUNDLED_SECONDARY,data/raw/example_ohlcv_secondary.csv,2024-01-02,2024-02-27,True,-0.009084152000000123,-2.8463376040665525,-0.7397642828756411,-0.009084152000000123,1.9965502818468148,201.0152,1,0.04742943199999994,2.0525499302438015,8.534213375558728,-0.03776520047608789,0.0,0.0,0,"{""bull"": 1, ""sideways"": 39}",40
