parameter,value,stability_score,total_return,sharpe_ratio,sortino_ratio,maximum_drawdown,turnover,transaction_cost,number_of_trades
momentum_window,4,1.0,-0.0033675945000001817,-1.2619171904340671,-0.22762910380477758,-0.015855361544071633,2.9913112789914553,603.8189,3
momentum_window,5,1.0,-0.0033675945000001817,-1.2619171904340671,-0.22762910380477758,-0.015855361544071633,2.9913112789914553,603.8189,3
momentum_window,6,1.0,-0.0033675945000001817,-1.2619171904340671,-0.22762910380477758,-0.015855361544071633,2.9913112789914553,603.8189,3
risk_confidence_threshold,0.1,1.0,-0.0033675945000001817,-1.2619171904340671,-0.22762910380477758,-0.015855361544071633,2.9913112789914553,603.8189,3
risk_confidence_threshold,0.15,1.0,-0.0033675945000001817,-1.2619171904340671,-0.22762910380477758,-0.015855361544071633,2.9913112789914553,603.8189,3
risk_confidence_threshold,0.2,1.0,-0.0033675945000001817,-1.2619171904340671,-0.22762910380477758,-0.015855361544071633,2.9913112789914553,603.8189,3
