asset,window_index,window_mode,train_start,train_end,test_start,test_end,train_observations,test_observations,total_return,sharpe_ratio,sortino_ratio,maximum_drawdown,turnover,transaction_cost,number_of_trades
BUNDLED_PRIMARY,1,rolling,2024-01-02T00:00:00+00:00,2024-01-22T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-02-05T00:00:00+00:00,15,10,0.0015235919999998515,0.46291167678805506,0.6567120685902651,-0.015855361544071633,2.9914030943286782,301.5408,1
BUNDLED_PRIMARY,2,rolling,2024-01-16T00:00:00+00:00,2024-02-05T00:00:00+00:00,2024-02-06T00:00:00+00:00,2024-02-20T00:00:00+00:00,15,10,0.0008243844849085136,0.42439284031373037,,-0.006471499319336438,1.0001148496752057,101.0447,1
BUNDLED_SECONDARY,1,rolling,2024-01-02T00:00:00+00:00,2024-01-22T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-02-05T00:00:00+00:00,15,10,0.0,,,0.0,0.0,0.0,0
BUNDLED_SECONDARY,2,rolling,2024-01-16T00:00:00+00:00,2024-02-05T00:00:00+00:00,2024-02-06T00:00:00+00:00,2024-02-20T00:00:00+00:00,15,10,-0.009084152000000123,-5.680950426742987,-2.8850807032150003,-0.009084152000000123,2.0052397852698265,201.0152,1
