variant,enabled_components,robustness_score,total_return,sharpe_ratio,sortino_ratio,maximum_drawdown,turnover,transaction_cost,number_of_trades
A: baseline strategy only,baseline_strategy,0.4493718004389479,0.00636216249999999,0.46314641454113215,1.8397967403865634,-0.05009535783808006,3.960507937667987,803.6675,3
B: + regime detection,"baseline_strategy,regime",0.4493718004389479,0.00636216249999999,0.46314641454113215,1.8397967403865634,-0.05009535783808006,3.960507937667987,803.6675,3
C: + multi-agent decision system,"baseline_strategy,regime,agents",0.49957340242548426,-0.0033675945000001817,-1.2619171904340671,-0.22762910380477758,-0.015855361544071633,2.9913112789914553,603.8189,3
D: + critic/memory,"baseline_strategy,regime,agents,critic_memory",0.49957340242548426,-0.0033675945000001817,-1.2619171904340671,-0.22762910380477758,-0.015855361544071633,2.9913112789914553,603.8189,3
E: + self-improvement,"baseline_strategy,regime,agents,critic_memory,learning",0.49957340242548426,-0.0033675945000001817,-1.2619171904340671,-0.22762910380477758,-0.015855361544071633,2.9913112789914553,603.8189,3
